"poll_id","source_poll_id","poll_name","issue_id","pair_id","group_id","group_key","net_change","gross_change","n_complete"
13,92,"National Issues Convention 2","nic2.t1demo","13:9224::nic2.t1demo","9224","13:9224",0.0171296298503876,0.102314814925194,12
13,92,"National Issues Convention 2","nic2.t1forai1","13:9201::nic2.t1forai1","9201","13:9201",0.392857142857143,0.464285714285714,14
13,92,"National Issues Convention 2","nic2.t1forai1","13:9202::nic2.t1forai1","9202","13:9202",0.142857142857143,0.142857142857143,14
13,92,"National Issues Convention 2","nic2.t1forai1","13:9203::nic2.t1forai1","9203","13:9203",0.3,0.366666666666667,15
13,92,"National Issues Convention 2","nic2.t1forai1","13:9204::nic2.t1forai1","9204","13:9204",0.321428571428571,0.321428571428571,14
13,92,"National Issues Convention 2","nic2.t1forai1","13:9205::nic2.t1forai1","9205","13:9205",0.363636363636364,0.363636363636364,11
13,92,"National Issues Convention 2","nic2.t1forai1","13:9206::nic2.t1forai1","9206","13:9206",0.375,0.375,12
13,92,"National Issues Convention 2","nic2.t1forai1","13:9207::nic2.t1forai1","9207","13:9207",0.15625,0.15625,16
13,92,"National Issues Convention 2","nic2.t1forai1","13:9208::nic2.t1forai1","9208","13:9208",0.307692307692308,0.307692307692308,13
13,92,"National Issues Convention 2","nic2.t1forai1","13:9209::nic2.t1forai1","9209","13:9209",0.153846153846154,0.153846153846154,13
13,92,"National Issues Convention 2","nic2.t1forai1","13:9210::nic2.t1forai1","9210","13:9210",0.307692307692308,0.307692307692308,13
13,92,"National Issues Convention 2","nic2.t1forai1","13:9211::nic2.t1forai1","9211","13:9211",0.25,0.25,14
13,92,"National Issues Convention 2","nic2.t1forai1","13:9212::nic2.t1forai1","9212","13:9212",0.346153846153846,0.346153846153846,13
13,92,"National Issues Convention 2","nic2.t1forai1","13:9213::nic2.t1forai1","9213","13:9213",0.133333333333333,0.133333333333333,15
13,92,"National Issues Convention 2","nic2.t1forai1","13:9214::nic2.t1forai1","9214","13:9214",0.291666666666667,0.291666666666667,12
